date,monthly_nav,units_purchased,cumulative_units,total_invested,portfolio_value
2010-06-01,10.0009,499.955,499.955,5000,5000.0
2010-07-01,10.0061,499.695,999.65,10000,10002.6
2010-08-01,10.0626,496.889,1496.54,15000,15059.08
2010-09-01,10.1148,494.325,1990.865,20000,20137.2
2010-10-01,10.1693,491.676,2482.541,25000,25245.7
2010-11-01,10.2308,488.72,2971.261,30000,30398.38
2010-12-01,10.29,485.909,3457.17,35000,35574.28
2011-01-01,10.3583,482.705,3939.874,40000,40810.4
2011-02-01,10.4248,479.626,4419.5,45000,46072.4
2011-03-01,10.4928,476.517,4896.017,50000,51372.93
2011-04-01,10.5753,472.8,5368.817,55000,56776.85
2011-05-01,10.643,469.792,5838.609,60000,62140.32
2011-06-01,10.7205,466.396,6305.005,65000,67592.81
2011-07-01,10.7971,463.087,6768.093,70000,73075.77
2011-08-01,10.8612,460.354,7228.447,75000,78509.61
2011-09-01,10.9368,457.172,7685.619,80000,84056.08
2011-10-01,11.012,454.05,8139.669,85000,89634.04
2011-11-01,11.0907,450.828,8590.497,90000,95274.63
2011-12-01,11.1744,447.451,9037.949,95000,100993.66
2012-01-01,11.2594,444.073,9482.022,100000,106761.88
2012-02-01,11.3491,440.564,9922.586,105000,112612.42
2012-03-01,11.3925,438.885,10361.471,110000,118043.06
2012-04-01,11.4535,436.548,10798.019,115000,123675.11
2012-05-01,11.5786,431.831,11229.85,120000,130025.94
2012-06-01,11.6368,429.671,11659.521,125000,135679.52
2012-07-01,11.7438,425.757,12085.278,130000,141927.09
2012-08-01,11.8815,420.822,12506.1,135000,148591.23
2012-09-01,11.9925,416.927,12923.027,140000,154979.41
2012-10-01,12.1726,410.759,13333.786,145000,162306.84
2012-11-01,12.2482,408.223,13742.009,150000,168314.88
2012-12-01,12.3396,405.2,14147.209,155000,174570.9
2013-01-01,12.4504,401.594,14548.802,160000,181138.41
2013-02-01,12.5524,398.33,14947.133,165000,187622.39
2013-03-01,12.5833,397.352,15344.485,170000,193084.25
2013-04-01,12.7343,392.64,15737.125,175000,200401.27
2013-05-01,12.9372,386.482,16123.607,180000,208594.33
2013-06-01,13.0689,382.588,16506.195,185000,215717.81
2013-07-01,13.0653,382.693,16888.888,190000,220658.39
2013-08-01,12.7755,391.374,17280.262,195000,220763.99
