date,monthly_nav,units_purchased,cumulative_units,total_invested,portfolio_value
2013-01-01,246.413,20.291,20.291,5000,5000.0
2013-02-01,245.578,20.36,40.651,10000,9983.06
2013-03-01,229.84,21.754,62.406,15000,14343.29
2013-04-01,226.849,22.041,84.447,20000,19156.63
2013-05-01,233.245,21.437,105.883,25000,24696.75
2013-06-01,231.2,21.626,127.51,30000,29480.22
2013-07-01,224.422,22.279,149.789,35000,33615.96
2013-08-01,213.446,23.425,173.214,40000,36971.88
2013-09-01,209.777,23.835,197.049,45000,41336.35
2013-10-01,220.802,22.645,219.694,50000,48508.82
2013-11-01,248.292,20.138,239.831,55000,59548.2
2013-12-01,250.691,19.945,259.776,60000,65123.56
2014-01-01,258.625,19.333,279.109,65000,72184.62
2014-02-01,244.217,20.474,299.583,70000,73163.21
2014-03-01,253.749,19.705,319.287,75000,81018.84
2014-04-01,279.094,17.915,337.202,80000,94111.18
2014-05-01,286.841,17.431,354.634,85000,101723.48
2014-06-01,339.848,14.712,369.346,90000,125521.55
2014-07-01,364.487,13.718,383.064,95000,139621.87
2014-08-01,351.706,14.216,397.28,100000,139725.93
2014-09-01,378.557,13.208,410.489,105000,155393.31
2014-10-01,373.196,13.398,423.886,110000,158192.68
2014-11-01,396.649,12.606,436.492,115000,173134.08
2014-12-01,412.574,12.119,448.611,120000,185085.22
2015-01-01,406.791,12.291,460.902,125000,187490.9
2015-02-01,419.178,11.928,472.83,130000,198200.1
2015-03-01,425.586,11.749,484.579,135000,206229.99
2015-04-01,408.442,12.242,496.821,140000,202922.37
2015-05-01,400.328,12.49,509.31,145000,203891.17
2015-06-01,403.089,12.404,521.715,150000,210297.38
2015-07-01,399.777,12.507,534.221,155000,213569.46
2015-08-01,412.362,12.125,546.347,160000,225292.64
2015-09-01,372.904,13.408,559.755,165000,208734.89
2015-10-01,379.756,13.166,572.921,170000,217570.33
2015-11-01,383.473,13.039,585.96,175000,224699.88
2015-12-01,391.263,12.779,598.739,180000,234264.51
2016-01-01,384.943,12.989,611.728,185000,235480.47
2016-02-01,348.334,14.354,626.082,190000,218085.72
2016-03-01,324.92,15.388,641.471,195000,208426.63
2016-04-01,360.503,13.87,655.34,200000,236252.08
2016-05-01,365.211,13.691,669.031,205000,244337.42
2016-06-01,375.99,13.298,682.329,210000,256548.9
2016-07-01,394.548,12.673,695.002,215000,274211.56
2016-08-01,410.301,12.186,707.188,220000,290159.93
2016-09-01,423.828,11.797,718.985,225000,304726.06
2016-10-01,431.192,11.596,730.581,230000,315020.67
2016-11-01,437.178,11.437,742.018,235000,324393.92
2016-12-01,421.011,11.876,753.894,240000,317397.72
2017-01-01,414.873,12.052,765.946,245000,317770.32
2017-02-01,454.244,11.007,776.953,250000,352926.38
2017-03-01,459.692,10.877,787.83,255000,362159.22
2017-04-01,484.595,10.318,798.148,260000,386778.55
2017-05-01,496.392,10.073,808.221,265000,401194.31
2017-06-01,504.778,9.905,818.126,270000,412972.04
2017-07-01,502.51,9.95,828.076,275000,416116.53
2017-08-01,526.476,9.497,837.573,280000,440962.21
2017-09-01,518.027,9.652,847.225,285000,438885.55
2017-10-01,510.184,9.8,857.026,290000,437240.76
2017-11-01,558.228,8.957,865.983,295000,483415.7
2017-12-01,550.92,9.076,875.058,300000,482087.1
2018-01-01,574.131,8.709,883.767,305000,507398.08
2018-02-01,573.862,8.713,892.48,310000,512160.35
2018-03-01,540.144,9.257,901.737,315000,487067.71
2018-04-01,519.708,9.621,911.358,320000,473639.81
2018-05-01,531.576,9.406,920.764,325000,489455.81
2018-06-01,522.205,9.575,930.338,330000,485827.33
2018-07-01,509.316,9.817,940.155,335000,478836.2
2018-08-01,537.135,9.309,949.464,340000,509990.38
2018-09-01,554.688,9.014,958.478,345000,531656.33
2018-10-01,528.913,9.453,967.931,350000,511951.55
2018-11-01,509.322,9.817,977.748,355000,497988.81
2018-12-01,512.666,9.753,987.501,360000,506258.4
2019-01-01,520.981,9.597,997.099,365000,519469.47
2019-02-01,509.793,9.808,1006.907,370000,513313.93
2019-03-01,509.133,9.821,1016.727,375000,517649.37
2019-04-01,553.88,9.027,1025.754,380000,568144.86
2019-05-01,546.416,9.151,1034.905,385000,565488.63
2019-06-01,560.949,8.913,1043.818,390000,585528.91
2019-07-01,556.263,8.989,1052.807,395000,585637.57
2019-08-01,505.206,9.897,1062.704,400000,536884.41
2019-09-01,486.394,10.28,1072.984,405000,521892.82
2019-10-01,513.624,9.735,1082.718,410000,556110.17
2019-11-01,538.417,9.286,1092.005,415000,587954.0
2019-12-01,539.116,9.274,1101.279,420000,593717.32
2020-01-01,542.956,9.209,1110.488,425000,602946.23
2020-02-01,516.328,9.684,1120.172,430000,578376.15
2020-03-01,482.97,10.353,1130.525,435000,546009.45
2020-04-01,358.891,13.932,1144.456,440000,410735.09
2020-05-01,405.924,12.318,1156.774,445000,469562.31
2020-06-01,423.002,11.82,1168.594,450000,494317.7
