date,monthly_nav,units_purchased,cumulative_units,total_invested,portfolio_value
2013-01-01,228.943,21.839,21.839,5000,5000.0
2013-02-01,230.308,21.71,43.55,10000,10029.81
2013-03-01,214.515,23.308,66.858,15000,14342.03
2013-04-01,211.858,23.601,90.459,20000,19164.39
2013-05-01,223.913,22.33,112.789,25000,25254.87
2013-06-01,220.201,22.707,135.495,30000,29836.2
2013-07-01,214.49,23.311,158.806,35000,34062.38
2013-08-01,199.631,25.046,183.853,40000,36702.68
2013-09-01,196.319,25.469,209.321,45000,41093.76
2013-10-01,204.703,24.426,233.747,50000,47848.71
2013-11-01,229.216,21.813,255.56,55000,58578.55
2013-12-01,229.881,21.75,277.311,60000,63748.5
2014-01-01,236.744,21.12,298.431,65000,70651.68
2014-02-01,221.29,22.595,321.026,70000,71039.73
2014-03-01,230.743,21.669,342.695,75000,79074.39
2014-04-01,255.843,19.543,362.238,80000,92676.02
2014-05-01,258.958,19.308,381.546,85000,98804.4
2014-06-01,302.694,16.518,398.064,90000,120491.69
2014-07-01,317.477,15.749,413.814,95000,131376.28
2014-08-01,308.774,16.193,430.007,100000,132774.86
2014-09-01,330.7,15.119,445.126,105000,147203.18
2014-10-01,325.395,15.366,460.492,110000,149841.79
2014-11-01,345.169,14.486,474.978,115000,163947.56
2014-12-01,358.161,13.96,488.938,120000,175118.47
2015-01-01,349.312,14.314,503.252,125000,175791.86
2015-02-01,364.142,13.731,516.983,130000,188255.08
2015-03-01,366.009,13.661,530.643,135000,194220.29
2015-04-01,350.751,14.255,544.899,140000,191123.73
2015-05-01,344.666,14.507,559.405,145000,192808.02
2015-06-01,347.33,14.396,573.801,150000,199298.28
2015-07-01,346.708,14.421,588.222,155000,203941.37
2015-08-01,357.54,13.984,602.207,160000,215313.0
2015-09-01,322.1,15.523,617.73,165000,198970.79
2015-10-01,327.79,15.254,632.984,170000,207485.67
2015-11-01,334.062,14.967,647.951,175000,216455.74
2015-12-01,336.589,14.855,662.806,180000,223093.12
2016-01-01,331.915,15.064,677.87,185000,224995.16
2016-02-01,302.475,16.53,694.4,190000,210038.67
2016-03-01,285.253,17.528,711.928,195000,203079.72
2016-04-01,315.533,15.846,727.775,200000,229636.91
2016-05-01,322.19,15.519,743.293,205000,239481.7
2016-06-01,337.001,14.837,758.13,210000,255490.62
2016-07-01,348.689,14.339,772.47,215000,269351.65
2016-08-01,365.78,13.669,786.139,220000,287553.93
2016-09-01,375.219,13.326,799.465,225000,299974.29
2016-10-01,381.135,13.119,812.583,230000,309703.92
2016-11-01,381.744,13.098,825.681,235000,315198.79
2016-12-01,364.693,13.71,839.391,240000,306120.1
2017-01-01,360.768,13.859,853.251,245000,307825.49
2017-02-01,390.883,12.792,866.042,250000,338521.13
2017-03-01,400.887,12.472,878.514,255000,352185.01
2017-04-01,416.447,12.006,890.521,260000,370854.7
2017-05-01,425.044,11.763,902.284,265000,383510.51
2017-06-01,432.117,11.571,913.855,270000,394892.36
2017-07-01,431.992,11.574,925.429,275000,399778.13
2017-08-01,456.765,10.947,936.376,280000,427703.79
2017-09-01,446.456,11.199,947.575,285000,423050.69
2017-10-01,439.257,11.383,958.958,290000,421229.1
2017-11-01,478.925,10.44,969.398,295000,464269.05
2017-12-01,463.906,10.778,980.176,300000,454709.66
