date,monthly_nav,units_purchased,cumulative_units,total_invested,portfolio_value
2013-01-01,18.799,265.972,265.972,5000,5000.0
2013-02-01,18.55,269.542,535.513,10000,9933.77
2013-03-01,17.502,285.682,821.195,15000,14372.56
2013-04-01,17.392,287.489,1108.684,20000,19282.22
2013-05-01,17.833,280.379,1389.063,25000,24771.15
2013-06-01,18.057,276.901,1665.964,30000,30082.3
2013-07-01,17.452,286.5,1952.464,35000,34074.4
2013-08-01,16.42,304.507,2256.97,40000,37059.45
2013-09-01,16.012,312.266,2569.236,45000,41138.61
2013-10-01,16.871,296.367,2865.603,50000,48345.58
2013-11-01,18.672,267.781,3133.383,55000,58506.53
2013-12-01,19.443,257.162,3390.545,60000,65922.37
2014-01-01,20.607,242.636,3633.181,65000,74868.97
2014-02-01,20.005,249.938,3883.119,70000,77681.79
2014-03-01,21.201,235.838,4118.957,75000,87326.0
2014-04-01,22.653,220.721,4339.678,80000,98306.73
2014-05-01,23.8,210.084,4549.762,85000,108284.34
2014-06-01,27.124,184.339,4734.101,90000,128407.75
2014-07-01,29.509,169.44,4903.54,95000,144698.58
2014-08-01,29.138,171.597,5075.138,100000,147879.36
2014-09-01,31.411,159.18,5234.318,105000,164415.15
2014-10-01,32.248,155.048,5389.366,110000,173796.27
2014-11-01,33.512,149.2,5538.566,115000,185608.43
2014-12-01,35.43,141.123,5679.69,120000,201231.4
2015-01-01,36.658,136.396,5816.085,125000,213206.06
2015-02-01,37.766,132.394,5948.48,130000,224650.28
2015-03-01,38.065,131.354,6079.834,135000,231428.88
2015-04-01,37.759,132.419,6212.253,140000,234568.45
2015-05-01,37.315,133.994,6346.247,145000,236810.21
2015-06-01,38.184,130.945,6477.192,150000,247325.1
2015-07-01,38.114,131.185,6608.377,155000,251871.7
2015-08-01,40.084,124.738,6733.115,160000,269890.2
2015-09-01,37.544,133.177,6866.293,165000,257788.09
2015-10-01,38.091,131.265,6997.557,170000,266543.95
2015-11-01,38.287,130.593,7128.15,175000,272915.47
2015-12-01,38.617,129.477,7257.626,180000,280267.76
2016-01-01,39.268,127.33,7384.957,185000,289992.47
2016-02-01,36.465,137.118,7522.074,190000,274292.44
2016-03-01,34.15,146.413,7668.487,195000,261878.84
2016-04-01,37.243,134.253,7802.741,200000,290597.47
2016-05-01,38.451,130.036,7932.776,205000,305023.18
2016-06-01,39.376,126.981,8059.757,210000,317361.0
2016-07-01,41.614,120.152,8179.909,215000,340398.73
2016-08-01,44.083,113.422,8293.331,220000,365594.93
2016-09-01,46.287,108.022,8401.353,225000,388873.43
2016-10-01,47.553,105.146,8506.499,230000,404509.55
2016-11-01,47.864,104.463,8610.962,235000,412155.07
2016-12-01,44.884,111.398,8722.36,240000,391494.4
2017-01-01,43.982,113.683,8836.043,245000,388626.83
2017-02-01,47.332,105.637,8941.68,250000,423227.58
2017-03-01,49.016,102.008,9043.687,255000,443285.36
2017-04-01,51.751,96.616,9140.304,260000,473019.85
2017-05-01,53.777,92.977,9233.28,265000,496538.1
2017-06-01,53.419,93.6,9326.88,270000,498232.59
2017-07-01,54.145,92.345,9419.224,275000,510003.9
2017-08-01,56.124,89.088,9508.313,280000,533644.55
2017-09-01,55.534,90.035,9598.348,285000,533034.64
2017-10-01,55.393,90.264,9688.612,290000,536681.28
2017-11-01,58.904,84.884,9773.496,295000,575697.99
2017-12-01,59.375,84.211,9857.706,300000,585301.31
2018-01-01,62.702,79.742,9937.449,305000,623097.9
2018-02-01,61.076,81.865,10019.314,310000,611939.61
2018-03-01,59.399,84.177,10103.49,315000,600137.22
2018-04-01,59.097,84.607,10188.097,320000,602085.96
2018-05-01,62.208,80.376,10268.472,325000,638781.13
2018-06-01,59.21,84.445,10352.918,330000,612996.25
2018-07-01,57.419,87.079,10439.997,335000,599454.18
2018-08-01,60.276,82.952,10522.949,340000,634281.25
2018-09-01,61.495,81.307,10604.256,345000,652108.72
2018-10-01,54.627,91.53,10695.786,350000,584278.69
2018-11-01,54.399,91.913,10787.699,355000,586840.05
2018-12-01,54.836,91.181,10878.88,360000,596554.28
2019-01-01,56.381,88.682,10967.563,365000,618362.15
2019-02-01,54.104,92.415,11059.977,370000,598389.01
2019-03-01,54.528,91.696,11151.673,375000,608078.44
2019-04-01,59.492,84.045,11235.718,380000,668435.34
2019-05-01,56.993,87.73,11323.448,385000,645357.28
2019-06-01,58.675,85.215,11408.663,390000,669403.32
2019-07-01,57.621,86.774,11495.437,395000,662378.59
2019-08-01,52.446,95.336,11590.773,400000,607889.71
2019-09-01,51.77,96.581,11687.355,405000,605054.34
2019-10-01,53.604,93.277,11780.631,410000,631488.95
2019-11-01,56.18,89.0,11869.631,415000,666835.86
2019-12-01,56.402,88.649,11958.28,420000,674470.91
2020-01-01,56.894,87.883,12046.163,425000,685354.39
2020-02-01,58.479,85.501,12131.664,430000,709447.56
2020-03-01,57.042,87.655,12219.318,435000,697014.36
2020-04-01,40.645,123.016,12342.335,440000,501654.19
2020-05-01,44.876,111.418,12453.753,445000,558874.61
2020-06-01,47.42,105.441,12559.194,450000,595556.96
2020-07-01,50.754,98.514,12657.708,455000,642429.31
2020-08-01,52.735,94.814,12752.522,460000,672504.23
2020-09-01,57.955,86.274,12838.795,465000,744072.39
2020-10-01,58.623,85.291,12924.086,470000,757648.71
